delta,fps,pixel,device_type,cpu,memory,consumption,gpu,in_time,cumm_net_delay,viewer_satisfaction,energy,consumption_gpu,delta_privacy
32,30,720,Orin,29,72,6,75,True,88,720,11,11,36
30,15,480,Orin,21,72,6,30,True,80,480,8,8,30
29,20,480,Orin,21,72,6,40,True,81,480,8,8,32
30,20,480,Orin,24,72,6,40,True,81,480,8,8,31
45,35,1080,Orin,26,72,6,80,False,109,1080,11,11,44
44,20,1080,Orin,27,72,6,40,True,107,1080,8,8,43
36,20,720,Orin,26,72,6,40,True,92,720,8,8,36
33,25,720,Orin,26,72,6,65,True,90,720,10,10,37
47,30,1080,Orin,28,72,6,75,False,111,1080,11,11,44
36,35,480,Orin,26,72,6,80,False,93,480,11,11,37
31,25,480,Orin,33,72,6,65,True,84,480,10,10,33
30,30,480,Orin,29,72,6,75,True,79,480,11,11,29
46,35,1080,Orin,31,72,6,80,False,108,1080,11,11,42
48,30,1080,Orin,28,72,6,75,False,113,1080,11,11,45
33,20,720,Orin,26,72,6,40,True,89,720,8,8,36
44,20,1080,Orin,21,72,6,40,True,108,1080,8,8,44
36,15,720,Orin,20,72,6,30,True,90,720,8,8,34
35,35,480,Orin,24,72,6,80,False,92,480,11,11,37
45,20,1080,Orin,29,72,6,40,True,109,1080,8,8,44
30,20,480,Orin,21,72,6,40,True,82,480,8,8,32
29,15,480,Orin,16,72,6,30,True,78,480,8,8,29
39,35,1080,Orin,28,72,6,80,False,105,1080,11,11,46
44,20,1080,Orin,22,72,6,40,True,107,1080,8,8,43
45,20,1080,Orin,25,72,6,40,True,109,1080,8,8,44
42,20,1080,Orin,24,72,6,40,True,104,1080,8,8,42
33,15,720,Orin,20,72,6,30,True,88,720,8,8,35
34,25,480,Orin,37,72,6,65,True,87,480,10,10,33
38,30,720,Orin,34,72,6,75,False,94,720,11,11,36
46,20,1080,Orin,23,72,6,40,True,110,1080,8,8,44
37,15,720,Orin,18,72,6,30,True,91,720,8,8,34
46,20,1080,Orin,23,72,6,40,True,109,1080,8,8,43
47,20,1080,Orin,28,72,6,40,True,111,1080,8,8,44
28,15,480,Orin,20,72,6,30,True,79,480,8,8,31
35,30,480,Orin,25,72,6,75,False,89,480,11,11,34
46,25,1080,Orin,25,72,6,65,False,110,1080,10,10,44
43,20,1080,Orin,22,72,6,40,True,108,1080,8,8,45
38,30,720,Orin,25,72,6,75,False,94,720,11,11,36
46,20,1080,Orin,26,72,6,40,True,109,1080,8,8,43
43,35,1080,Orin,32,72,6,80,False,108,1080,11,11,45
30,15,480,Orin,20,72,6,30,True,84,480,8,8,34
45,20,1080,Orin,28,72,6,40,True,109,1080,8,8,44
44,20,1080,Orin,24,72,6,40,True,108,1080,8,8,44
34,35,480,Orin,25,72,6,80,False,88,480,11,11,34
37,25,720,Orin,29,72,6,65,True,93,720,10,10,36
37,20,720,Orin,21,72,6,40,True,95,720,8,8,38
46,25,1080,Orin,27,72,6,65,False,111,1080,10,10,45
45,20,1080,Orin,26,72,6,40,True,109,1080,8,8,44
41,15,1080,Orin,14,71,6,30,True,104,1080,8,8,43
35,25,720,Orin,28,72,6,65,True,91,720,10,10,36
43,30,1080,Orin,27,72,6,75,False,110,1080,11,11,47
32,30,720,Orin,28,72,6,75,True,87,720,11,11,35
36,25,720,Orin,25,72,6,65,True,92,720,10,10,36
32,15,720,Orin,20,72,6,30,True,85,720,8,8,33
34,15,720,Orin,21,72,6,30,True,86,720,8,8,32
41,15,1080,Orin,22,71,6,30,True,105,1080,8,8,44
29,30,480,Orin,29,72,6,75,True,82,480,11,11,33
40,15,1080,Orin,20,71,6,30,True,105,1080,8,8,45
38,30,720,Orin,25,72,6,75,False,94,720,11,11,36
34,20,720,Orin,25,72,6,40,True,90,720,8,8,36
32,35,720,Orin,22,72,6,80,False,88,720,11,11,36
31,20,480,Orin,23,72,6,40,True,83,480,8,8,32
39,15,1080,Orin,19,71,6,30,True,103,1080,8,8,44
36,15,720,Orin,21,72,6,30,True,88,720,8,8,32
34,30,720,Orin,26,72,6,75,False,91,720,11,11,37
45,25,1080,Orin,27,72,6,65,False,109,1080,10,10,44
33,15,720,Orin,20,72,6,30,True,86,720,8,8,33
45,25,1080,Orin,21,72,6,65,False,107,1080,10,10,42
34,30,480,Orin,30,72,6,75,False,84,480,11,11,30
44,20,1080,Orin,27,72,6,40,True,107,1080,8,8,43
44,20,1080,Orin,23,72,6,40,True,110,1080,8,8,46
36,35,480,Orin,29,72,6,80,False,91,480,11,11,35
32,30,720,Orin,28,72,6,75,True,88,720,11,11,36
46,35,1080,Orin,23,72,6,80,False,110,1080,11,11,44
31,25,480,Orin,25,72,6,65,True,81,480,10,10,30
32,25,480,Orin,23,72,6,65,True,82,480,10,10,30
41,15,1080,Orin,20,71,6,30,True,105,1080,8,8,44
41,15,1080,Orin,17,71,6,30,True,105,1080,8,8,44
28,30,480,Orin,28,72,6,75,True,83,480,11,11,35
37,30,720,Orin,33,72,6,75,False,93,720,11,11,36
45,20,1080,Orin,26,72,6,40,True,109,1080,8,8,44
30,35,480,Orin,30,72,6,80,False,85,480,11,11,35
47,30,1080,Orin,27,72,6,75,False,110,1080,11,11,43
46,30,1080,Orin,22,72,6,75,False,111,1080,11,11,45
46,30,1080,Orin,20,72,6,75,False,110,1080,11,11,44
45,35,1080,Orin,24,72,6,80,False,108,1080,11,11,43
44,30,1080,Orin,28,72,6,75,False,108,1080,11,11,44
35,20,720,Orin,21,72,6,40,True,92,720,8,8,37
47,30,1080,Orin,23,72,6,75,False,111,1080,11,11,44
31,35,480,Orin,32,72,6,80,False,84,480,11,11,33
44,20,1080,Orin,26,72,6,40,True,104,1080,8,8,40
46,20,1080,Orin,22,72,6,40,True,109,1080,8,8,43
40,25,1080,Orin,29,72,6,65,True,103,1080,10,10,43
29,35,480,Orin,33,72,6,80,False,79,480,11,11,30
40,15,1080,Orin,22,71,6,30,True,104,1080,8,8,44
44,35,1080,Orin,27,72,6,80,False,108,1080,11,11,44
34,20,720,Orin,29,72,6,40,True,90,720,8,8,36
30,15,480,Orin,19,72,6,30,True,80,480,8,8,30
32,35,720,Orin,34,72,6,80,False,88,720,11,11,36
30,15,480,Orin,20,72,6,30,True,80,480,8,8,30
37,15,720,Orin,21,72,6,30,True,90,720,8,8,33
33,25,480,Orin,29,72,6,65,True,82,480,10,10,29
42,15,1080,Orin,20,71,6,30,True,105,1080,8,8,43
45,25,1080,Orin,21,72,6,65,False,109,1080,10,10,44
34,30,720,Orin,34,72,6,75,False,89,720,11,11,35
29,15,480,Orin,19,72,6,30,True,77,480,8,8,28
33,15,480,Orin,20,72,6,30,True,83,480,8,8,30
28,25,480,Orin,25,72,6,65,True,79,480,10,10,31
29,20,480,Orin,23,72,6,40,True,79,480,8,8,30
36,25,720,Orin,25,72,6,65,True,93,720,10,10,37
32,20,480,Orin,24,72,6,40,True,82,480,8,8,30
29,15,480,Orin,17,72,6,30,True,78,480,8,8,29
33,35,480,Orin,25,72,6,80,False,86,480,11,11,33
40,15,1080,Orin,21,71,6,30,True,103,1080,8,8,43
31,15,720,Orin,16,72,6,30,True,85,720,8,8,34
29,15,480,Orin,17,72,6,30,True,80,480,8,8,31
41,35,720,Orin,28,72,6,80,False,97,720,11,11,36
38,35,480,Orin,31,72,6,80,False,89,480,11,11,31
29,35,480,Orin,26,72,6,80,False,81,480,11,11,32
30,15,480,Orin,18,72,6,30,True,80,480,8,8,30
34,15,720,Orin,20,72,6,30,True,88,720,8,8,34
28,30,480,Orin,33,72,6,75,True,79,480,11,11,31
34,25,480,Orin,24,72,6,65,True,84,480,10,10,30
39,30,1080,Orin,28,72,6,75,False,104,1080,11,11,45
35,30,480,Orin,33,72,6,75,False,91,480,11,11,36
35,25,720,Orin,29,72,6,65,True,91,720,10,10,36
31,30,480,Orin,31,72,6,75,True,81,480,11,11,30
32,30,720,Orin,36,72,6,75,True,88,720,11,11,36
35,30,480,Orin,30,72,6,75,False,90,480,11,11,35
33,15,720,Orin,20,72,6,30,True,87,720,8,8,34
33,35,720,Orin,33,72,6,80,False,89,720,11,11,36
32,35,720,Orin,36,72,6,80,False,88,720,11,11,36
39,30,1080,Orin,23,72,6,75,False,101,1080,11,11,42
35,20,720,Orin,23,72,6,40,True,91,720,8,8,36
29,30,480,Orin,22,72,6,75,True,85,480,11,11,36
30,25,480,Orin,20,72,6,65,True,83,480,10,10,33
45,35,1080,Orin,23,72,6,80,False,109,1080,11,11,44
46,20,1080,Orin,23,72,6,40,True,109,1080,8,8,43
39,30,720,Orin,30,72,6,75,False,93,720,11,11,34
45,30,1080,Orin,26,72,6,75,False,110,1080,11,11,45
35,20,480,Orin,26,72,6,40,True,85,480,8,8,30
33,30,480,Orin,30,72,6,75,True,87,480,11,11,34
32,15,720,Orin,14,72,6,30,True,88,720,8,8,36
38,30,720,Orin,29,72,6,75,False,94,720,11,11,36
30,20,480,Orin,23,72,6,40,True,81,480,8,8,31
44,20,1080,Orin,26,72,6,40,True,108,1080,8,8,44
44,20,1080,Orin,23,72,6,40,True,108,1080,8,8,44
44,20,1080,Orin,25,72,6,40,True,107,1080,8,8,43
29,15,480,Orin,13,72,6,30,True,79,480,8,8,30
45,25,1080,Orin,28,72,6,65,False,110,1080,10,10,45
40,35,1080,Orin,28,72,6,80,False,103,1080,11,11,43
37,35,720,Orin,38,72,6,80,False,93,720,11,11,36
46,25,1080,Orin,29,72,6,65,False,109,1080,10,10,43
34,25,480,Orin,25,72,6,65,True,86,480,10,10,32
37,20,720,Orin,25,72,6,40,True,93,720,8,8,36
46,20,1080,Orin,24,72,6,40,True,109,1080,8,8,43
35,20,720,Orin,23,72,6,40,True,91,720,8,8,36
28,30,480,Orin,33,72,6,75,True,78,480,11,11,30
44,20,1080,Orin,23,72,6,40,True,108,1080,8,8,44
30,20,480,Orin,25,72,6,40,True,80,480,8,8,30
32,30,720,Orin,29,72,6,75,True,89,720,11,11,37
41,15,1080,Orin,22,71,6,30,True,105,1080,8,8,44
38,25,720,Orin,28,72,6,65,True,95,720,10,10,37
47,30,1080,Orin,22,72,6,75,False,111,1080,11,11,44
30,20,480,Orin,25,72,6,40,True,80,480,8,8,30
40,15,1080,Orin,13,71,6,30,True,104,1080,8,8,44
30,35,480,Orin,35,72,6,80,False,84,480,11,11,34
47,35,1080,Orin,25,72,6,80,False,110,1080,11,11,43
36,15,720,Orin,21,72,6,30,True,88,720,8,8,32
35,25,720,Orin,31,72,6,65,True,92,720,10,10,37
37,30,720,Orin,35,72,6,75,False,94,720,11,11,37
44,30,1080,Orin,28,72,6,75,False,106,1080,11,11,42
38,15,1080,Orin,18,71,6,30,True,103,1080,8,8,45
40,30,720,Orin,28,72,6,75,False,97,720,11,11,37
43,30,1080,Orin,25,72,6,75,False,106,1080,11,11,43
29,20,480,Orin,21,72,6,40,True,80,480,8,8,31
30,15,480,Orin,18,72,6,30,True,78,480,8,8,28
29,20,480,Orin,24,72,6,40,True,79,480,8,8,30
46,30,1080,Orin,25,72,6,75,False,110,1080,11,11,44
47,35,1080,Orin,28,72,6,80,False,112,1080,11,11,45
47,30,1080,Orin,26,72,6,75,False,110,1080,11,11,43
45,30,1080,Orin,21,72,6,75,False,110,1080,11,11,45
29,15,480,Orin,18,72,6,30,True,78,480,8,8,29
46,30,1080,Orin,29,72,6,75,False,112,1080,11,11,46
36,30,720,Orin,26,72,6,75,False,92,720,11,11,36
31,20,480,Orin,23,72,6,40,True,81,480,8,8,30
45,30,1080,Orin,25,72,6,75,False,108,1080,11,11,43
45,25,1080,Orin,24,72,6,65,False,108,1080,10,10,43
36,25,720,Orin,25,72,6,65,True,93,720,10,10,37
31,25,480,Orin,26,72,6,65,True,84,480,10,10,33
32,35,720,Orin,28,72,6,80,False,87,720,11,11,35
30,20,480,Orin,21,72,6,40,True,80,480,8,8,30
29,35,480,Orin,30,72,6,80,False,79,480,11,11,30
30,20,480,Orin,25,72,6,40,True,84,480,8,8,34
30,25,480,Orin,21,72,6,65,True,80,480,10,10,30
33,15,720,Orin,18,72,6,30,True,85,720,8,8,32
39,30,720,Orin,39,72,6,75,False,94,720,11,11,35
33,35,480,Orin,32,72,6,80,False,84,480,11,11,31
47,25,1080,Orin,23,72,6,65,False,112,1080,10,10,45
33,15,720,Orin,24,72,6,30,True,86,720,8,8,33
31,30,720,Orin,33,72,6,75,True,87,720,11,11,36
46,20,1080,Orin,21,72,6,40,True,109,1080,8,8,43
42,15,1080,Orin,20,71,6,30,True,105,1080,8,8,43
34,25,720,Orin,31,72,6,65,True,90,720,10,10,36
46,35,1080,Orin,31,72,6,80,False,110,1080,11,11,44
33,25,480,Orin,27,72,6,65,True,87,480,10,10,34
41,15,1080,Orin,17,71,6,30,True,104,1080,8,8,43
30,35,480,Orin,29,72,6,80,False,81,480,11,11,31
33,15,720,Orin,20,72,6,30,True,87,720,8,8,34
31,35,480,Orin,23,72,6,80,False,86,480,11,11,35
41,15,1080,Orin,21,71,6,30,True,106,1080,8,8,45
38,30,720,Orin,32,72,6,75,False,96,720,11,11,38
32,30,480,Orin,25,72,6,75,True,82,480,11,11,30
32,25,720,Orin,35,72,6,65,True,89,720,10,10,37
42,15,1080,Orin,20,71,6,30,True,106,1080,8,8,44
29,30,480,Orin,34,72,6,75,True,85,480,11,11,36
32,30,720,Orin,34,72,6,75,True,89,720,11,11,37
45,20,1080,Orin,28,72,6,40,True,109,1080,8,8,44
32,35,720,Orin,33,72,6,80,False,88,720,11,11,36
34,35,480,Orin,33,72,6,80,False,85,480,11,11,31
34,35,480,Orin,29,72,6,80,False,90,480,11,11,36
30,25,480,Orin,22,72,6,65,True,80,480,10,10,30
35,30,720,Orin,32,72,6,75,False,92,720,11,11,37
47,30,1080,Orin,22,72,6,75,False,110,1080,11,11,43
39,25,720,Orin,29,72,6,65,True,96,720,10,10,37
33,15,720,Orin,22,72,6,30,True,87,720,8,8,34
35,20,720,Orin,25,72,6,40,True,91,720,8,8,36
34,15,720,Orin,18,72,6,30,True,86,720,8,8,32
40,30,1080,Orin,30,72,6,75,False,103,1080,11,11,43
36,25,720,Orin,32,72,6,65,True,93,720,10,10,37
29,15,480,Orin,20,72,6,30,True,79,480,8,8,30
44,30,1080,Orin,21,72,6,75,False,106,1080,11,11,42
33,20,720,Orin,25,72,6,40,True,89,720,8,8,36
31,20,480,Orin,21,72,6,40,True,81,480,8,8,30
34,30,720,Orin,31,72,6,75,False,89,720,11,11,35
45,20,1080,Orin,26,72,6,40,True,110,1080,8,8,45
34,35,720,Orin,30,72,6,80,False,90,720,11,11,36
43,30,1080,Orin,25,72,6,75,False,107,1080,11,11,44
36,15,720,Orin,25,72,6,30,True,94,720,8,8,38
36,15,720,Orin,23,72,6,30,True,90,720,8,8,34
34,35,480,Orin,31,72,6,80,False,88,480,11,11,34
43,30,1080,Orin,31,72,6,75,False,108,1080,11,11,45
31,35,480,Orin,26,72,6,80,False,81,480,11,11,30
30,35,480,Orin,28,72,6,80,False,87,480,11,11,37
43,25,1080,Orin,31,72,6,65,False,106,1080,10,10,43
31,35,480,Orin,31,72,6,80,False,87,480,11,11,36
29,30,480,Orin,28,72,6,75,True,79,480,11,11,30
37,35,720,Orin,48,72,7,80,False,93,720,12,12,36
32,15,720,Orin,19,72,6,30,True,87,720,8,8,35
28,30,480,Orin,30,72,6,75,True,83,480,11,11,35
44,25,1080,Orin,27,72,6,65,False,107,1080,10,10,43
30,20,480,Orin,24,72,6,40,True,81,480,8,8,31
33,30,720,Orin,34,72,6,75,True,89,720,11,11,36
46,25,1080,Orin,25,72,6,65,False,110,1080,10,10,44
34,15,720,Orin,17,72,6,30,True,87,720,8,8,33
29,15,480,Orin,22,72,6,30,True,78,480,8,8,29
47,30,1080,Orin,30,72,6,75,False,111,1080,11,11,44
33,30,480,Orin,29,72,6,75,True,87,480,11,11,34
42,25,1080,Orin,25,72,6,65,False,106,1080,10,10,44
30,20,480,Orin,25,72,6,40,True,82,480,8,8,32
35,35,480,Orin,21,72,6,80,False,85,480,11,11,30
34,15,720,Orin,18,72,6,30,True,89,720,8,8,35
33,30,480,Orin,27,72,6,75,True,82,480,11,11,29
30,25,480,Orin,31,72,6,65,True,80,480,10,10,30
30,15,480,Orin,20,72,6,30,True,81,480,8,8,31
29,25,480,Orin,25,72,6,65,True,80,480,10,10,31
39,25,1080,Orin,27,72,6,65,True,102,1080,10,10,43
35,20,720,Orin,29,72,6,40,True,92,720,8,8,37
50,35,1080,Orin,27,72,6,80,False,115,1080,11,11,45
46,35,1080,Orin,27,72,6,80,False,110,1080,11,11,44
35,15,720,Orin,17,72,6,30,True,88,720,8,8,33
41,15,1080,Orin,22,71,6,30,True,105,1080,8,8,44
46,25,1080,Orin,27,72,6,65,False,109,1080,10,10,43
30,15,480,Orin,13,72,6,30,True,80,480,8,8,30
33,25,720,Orin,27,72,6,65,True,91,720,10,10,38
39,30,720,Orin,30,72,6,75,False,95,720,11,11,36
44,30,1080,Orin,25,72,6,75,False,107,1080,11,11,43
29,20,480,Orin,19,72,6,40,True,80,480,8,8,31
48,25,1080,Orin,28,72,6,65,False,113,1080,10,10,45
38,30,720,Orin,28,72,6,75,False,94,720,11,11,36
47,35,1080,Orin,27,72,6,80,False,111,1080,11,11,44
33,30,720,Orin,31,72,6,75,True,89,720,11,11,36
34,20,720,Orin,25,72,6,40,True,91,720,8,8,37
31,15,720,Orin,19,72,6,30,True,84,720,8,8,33
34,20,720,Orin,25,72,6,40,True,91,720,8,8,37
29,15,480,Orin,13,72,6,30,True,82,480,8,8,33
31,20,480,Orin,21,72,6,40,True,84,480,8,8,33
34,20,720,Orin,31,72,6,40,True,90,720,8,8,36
46,35,1080,Orin,22,72,6,80,False,111,1080,11,11,45
32,25,480,Orin,27,72,6,65,True,83,480,10,10,31
32,30,720,Orin,34,72,6,75,True,88,720,11,11,36
32,25,480,Orin,23,72,6,65,True,85,480,10,10,33
41,15,1080,Orin,20,71,6,30,True,104,1080,8,8,43
34,15,720,Orin,20,72,6,30,True,87,720,8,8,33
37,30,720,Orin,26,72,6,75,False,93,720,11,11,36
32,30,720,Orin,36,72,6,75,True,88,720,11,11,36
35,20,720,Orin,24,72,6,40,True,91,720,8,8,36
33,15,720,Orin,18,72,6,30,True,85,720,8,8,32
30,30,480,Orin,34,72,6,75,True,81,480,11,11,31
41,15,1080,Orin,19,71,6,30,True,104,1080,8,8,43
45,20,1080,Orin,28,72,6,40,True,110,1080,8,8,45
34,20,720,Orin,29,72,6,40,True,89,720,8,8,35
45,25,1080,Orin,25,72,6,65,False,109,1080,10,10,44
35,15,480,Orin,21,72,6,30,True,85,480,8,8,30
45,25,1080,Orin,27,72,6,65,False,108,1080,10,10,43
30,25,480,Orin,19,72,6,65,True,79,480,10,10,29
43,20,1080,Orin,23,72,6,40,True,107,1080,8,8,44
32,15,720,Orin,19,72,6,30,True,85,720,8,8,33
41,15,1080,Orin,17,71,6,30,True,105,1080,8,8,44
30,30,480,Orin,30,72,6,75,True,84,480,11,11,34
30,15,480,Orin,15,72,6,30,True,80,480,8,8,30
47,30,1080,Orin,25,72,6,75,False,111,1080,11,11,44
43,30,1080,Orin,29,72,6,75,False,106,1080,11,11,43
33,35,480,Orin,25,72,6,80,False,88,480,11,11,35
35,20,720,Orin,25,72,6,40,True,91,720,8,8,36
41,15,1080,Orin,13,71,6,30,True,106,1080,8,8,45
36,15,720,Orin,19,72,6,30,True,90,720,8,8,34
32,30,720,Orin,28,72,6,75,True,87,720,11,11,35
34,25,720,Orin,29,72,6,65,True,91,720,10,10,37
36,15,720,Orin,20,72,6,30,True,89,720,8,8,33
39,25,1080,Orin,28,72,6,65,True,103,1080,10,10,44
28,25,480,Orin,23,72,6,65,True,82,480,10,10,34
38,35,480,Orin,26,72,6,80,False,92,480,11,11,34
29,30,480,Orin,37,72,6,75,True,84,480,11,11,35
34,15,720,Orin,22,72,6,30,True,87,720,8,8,33
32,20,720,Orin,23,72,6,40,True,89,720,8,8,37
46,25,1080,Orin,25,72,6,65,False,110,1080,10,10,44
36,35,480,Orin,32,72,6,80,False,89,480,11,11,33
33,35,720,Orin,32,72,6,80,False,89,720,11,11,36
46,35,1080,Orin,27,72,6,80,False,109,1080,11,11,43
46,30,1080,Orin,24,72,6,75,False,110,1080,11,11,44
33,20,720,Orin,24,72,6,40,True,90,720,8,8,37
31,20,480,Orin,21,72,6,40,True,82,480,8,8,31
32,25,480,Orin,27,72,6,65,True,82,480,10,10,30
33,25,480,Orin,27,72,6,65,True,86,480,10,10,33
45,25,1080,Orin,28,72,6,65,False,108,1080,10,10,43
32,25,480,Orin,27,72,6,65,True,86,480,10,10,34
37,25,720,Orin,28,72,6,65,True,93,720,10,10,36
40,15,1080,Orin,17,71,6,30,True,104,1080,8,8,44
45,20,1080,Orin,25,72,6,40,True,108,1080,8,8,43
29,15,480,Orin,21,72,6,30,True,79,480,8,8,30
33,25,720,Orin,20,72,6,65,True,90,720,10,10,37
34,20,720,Orin,26,72,6,40,True,91,720,8,8,37
41,15,1080,Orin,19,71,6,30,True,104,1080,8,8,43
38,30,720,Orin,32,72,6,75,False,95,720,11,11,37
29,30,480,Orin,32,72,6,75,True,78,480,11,11,29
37,25,720,Orin,33,72,6,65,True,93,720,10,10,36
44,20,1080,Orin,23,72,6,40,True,108,1080,8,8,44
32,30,720,Orin,32,72,6,75,True,87,720,11,11,35
38,30,720,Orin,33,72,6,75,False,93,720,11,11,35
33,15,720,Orin,18,72,6,30,True,86,720,8,8,33
42,20,1080,Orin,23,72,6,40,True,106,1080,8,8,44
46,25,1080,Orin,23,72,6,65,False,109,1080,10,10,43
33,20,720,Orin,23,72,6,40,True,90,720,8,8,37
44,35,1080,Orin,18,72,6,80,False,109,1080,11,11,45
30,15,480,Orin,20,72,6,30,True,84,480,8,8,34
34,35,720,Orin,33,72,6,80,False,90,720,11,11,36
38,30,720,Orin,33,72,6,75,False,94,720,11,11,36
29,25,480,Orin,22,72,6,65,True,84,480,10,10,35
33,30,480,Orin,27,72,6,75,True,86,480,11,11,33
40,15,1080,Orin,22,71,6,30,True,104,1080,8,8,44
44,25,1080,Orin,29,72,6,65,False,106,1080,10,10,42
33,25,480,Orin,25,72,6,65,True,87,480,10,10,34
35,35,480,Orin,32,72,6,80,False,86,480,11,11,31
47,20,1080,Orin,24,72,6,40,True,112,1080,8,8,45
40,30,1080,Orin,28,72,6,75,False,104,1080,11,11,44
33,30,720,Orin,30,72,6,75,True,89,720,11,11,36
35,25,720,Orin,30,72,6,65,True,92,720,10,10,37
37,30,720,Orin,26,72,6,75,False,93,720,11,11,36
30,30,480,Orin,35,72,6,75,True,80,480,11,11,30
34,30,480,Orin,26,72,6,75,False,83,480,11,11,29
33,20,720,Orin,25,72,6,40,True,89,720,8,8,36
40,30,720,Orin,27,72,6,75,False,96,720,11,11,36
36,15,720,Orin,18,72,6,30,True,89,720,8,8,33
33,30,720,Orin,32,72,6,75,True,89,720,11,11,36
39,35,480,Orin,30,72,6,80,False,93,480,11,11,34
43,25,1080,Orin,26,72,6,65,False,108,1080,10,10,45
31,20,480,Orin,27,72,6,40,True,82,480,8,8,31
39,35,720,Orin,32,72,6,80,False,95,720,11,11,36
30,15,480,Orin,14,72,6,30,True,80,480,8,8,30
28,35,480,Orin,26,72,6,80,True,79,480,11,11,31
44,25,1080,Orin,18,72,6,65,False,109,1080,10,10,45
40,15,1080,Orin,17,71,6,30,True,104,1080,8,8,44
30,20,480,Orin,26,72,6,40,True,81,480,8,8,31
32,30,720,Orin,28,72,6,75,True,88,720,11,11,36
37,35,720,Orin,33,72,6,80,False,92,720,11,11,35
44,30,1080,Orin,26,72,6,75,False,107,1080,11,11,43
28,15,480,Orin,17,72,6,30,True,78,480,8,8,30
33,35,480,Orin,25,72,6,80,False,83,480,11,11,30
45,35,1080,Orin,26,72,6,80,False,108,1080,11,11,43
34,30,480,Orin,29,72,6,75,False,84,480,11,11,30
38,25,720,Orin,25,72,6,65,True,95,720,10,10,37
34,15,720,Orin,18,72,6,30,True,88,720,8,8,34
31,25,480,Orin,28,72,6,65,True,81,480,10,10,30
33,35,720,Orin,25,72,6,80,False,90,720,11,11,37
36,25,720,Orin,25,72,6,65,True,93,720,10,10,37
47,35,1080,Orin,30,72,6,80,False,111,1080,11,11,44
45,20,1080,Orin,22,72,6,40,True,108,1080,8,8,43
28,15,480,Orin,20,72,6,30,True,81,480,8,8,33
38,20,720,Orin,30,72,6,40,True,95,720,8,8,37
32,25,720,Orin,24,72,6,65,True,89,720,10,10,37
45,30,1080,Orin,25,72,6,75,False,109,1080,11,11,44
41,15,1080,Orin,17,71,6,30,True,105,1080,8,8,44
38,30,720,Orin,38,72,6,75,False,93,720,11,11,35
30,20,480,Orin,28,72,6,40,True,85,480,8,8,35
36,15,720,Orin,21,72,6,30,True,89,720,8,8,33
49,35,1080,Orin,22,72,6,80,False,115,1080,11,11,46
33,15,720,Orin,17,72,6,30,True,90,720,8,8,37
29,15,480,Orin,20,72,6,30,True,79,480,8,8,30
36,15,720,Orin,20,72,6,30,True,92,720,8,8,36
45,20,1080,Orin,25,72,6,40,True,109,1080,8,8,44
41,15,1080,Orin,15,71,6,30,True,104,1080,8,8,43
36,25,720,Orin,33,72,6,65,True,92,720,10,10,36
44,35,1080,Orin,32,72,6,80,False,107,1080,11,11,43
30,25,480,Orin,25,72,6,65,True,86,480,10,10,36
45,20,1080,Orin,28,72,6,40,True,109,1080,8,8,44
44,30,1080,Orin,30,72,6,75,False,107,1080,11,11,43
29,30,480,Orin,30,72,6,75,True,80,480,11,11,31
48,20,1080,Orin,19,72,6,40,True,112,1080,8,8,44
32,35,480,Orin,40,72,7,80,False,88,480,12,12,36
28,25,480,Orin,30,72,6,65,True,78,480,10,10,30
29,30,480,Orin,32,72,6,75,True,80,480,11,11,31
46,35,1080,Orin,20,72,6,80,False,109,1080,11,11,43
44,20,1080,Orin,23,72,6,40,True,107,1080,8,8,43
43,25,1080,Orin,27,72,6,65,False,108,1080,10,10,45
46,35,1080,Orin,25,72,6,80,False,111,1080,11,11,45
44,20,1080,Orin,21,72,6,40,True,109,1080,8,8,45
41,30,1080,Orin,28,72,6,75,False,104,1080,11,11,43
37,35,720,Orin,35,72,6,80,False,92,720,11,11,35
46,30,1080,Orin,29,72,6,75,False,109,1080,11,11,43
51,30,1080,Orin,26,72,6,75,False,115,1080,11,11,44
33,30,720,Orin,32,72,6,75,True,89,720,11,11,36
30,20,480,Orin,26,72,6,40,True,81,480,8,8,31
41,25,1080,Orin,25,72,6,65,False,103,1080,10,10,42
31,20,480,Orin,20,72,6,40,True,82,480,8,8,31
33,30,480,Orin,31,72,6,75,True,87,480,11,11,34
49,25,1080,Orin,26,72,6,65,False,112,1080,10,10,43
32,25,480,Orin,21,72,6,65,True,85,480,10,10,33
38,15,1080,Orin,19,71,6,30,True,102,1080,8,8,44
29,35,480,Orin,28,72,6,80,False,84,480,11,11,35
41,20,1080,Orin,25,72,6,40,True,104,1080,8,8,43
36,25,720,Orin,34,72,6,65,True,93,720,10,10,37
34,35,480,Orin,34,72,6,80,False,85,480,11,11,31
45,25,1080,Orin,24,72,6,65,False,110,1080,10,10,45
43,20,1080,Orin,24,72,6,40,True,106,1080,8,8,43
36,35,720,Orin,34,72,6,80,False,92,720,11,11,36
31,20,480,Orin,23,72,6,40,True,81,480,8,8,30
29,25,480,Orin,22,72,6,65,True,82,480,10,10,33
32,30,480,Orin,31,72,6,75,True,85,480,11,11,33
34,35,480,Orin,33,72,6,80,False,84,480,11,11,30
29,25,480,Orin,25,72,6,65,True,80,480,10,10,31
32,30,720,Orin,32,72,6,75,True,89,720,11,11,37
38,25,720,Orin,30,72,6,65,True,95,720,10,10,37
30,15,480,Orin,20,72,6,30,True,80,480,8,8,30
